timestamp,time,rrd_in_bps,rrd_out_bps,iperf_server_in_bps,iperf_server_out_bps,cpu_load,mem_avail,mem_total,mem_cached,mem_buffer,mem_free,mem_avail_swap,mem_total_swap,swap_in,swap_out,io_sent,io_received
1761063900,2025-10-21 23:25:00,10701837.677419355,11251.354838709678,9973640.498977268,,108.0,1776176.0,7984784.0,2275608.0,205540.0,5970476.0,4194300.0,4194300.0,0.0,0.0,454.1333333333333,0.0
1761063930,2025-10-21 23:25:30,11392496.989247313,11280.378494623657,10015886.998248706,,105.0,1775252.0,7984784.0,2275624.0,205652.0,5969552.0,4194300.0,4194300.0,0.0,0.0,414.4,0.0
1761063960,2025-10-21 23:26:00,10557136.516129034,16839.74193548387,9997240.36430613,,179.0,1774524.0,7984784.0,2275560.0,205764.0,5968824.0,4194300.0,4194300.0,0.0,0.0,355.46666666666664,0.0
1761063990,2025-10-21 23:26:30,11257161.617204301,11462.658064516128,10000496.922776477,,147.0,1772084.0,7984784.0,2275576.0,205876.0,5966384.0,4194300.0,4194300.0,0.0,0.0,93.6,0.0
1761064020,2025-10-21 23:27:00,10541547.870967742,10083.09677419355,9978568.191016126,,128.0,1770600.0,7984784.0,2275616.0,206004.0,5964900.0,4194300.0,4194300.0,0.0,0.0,360.8,0.0
1761064050,2025-10-21 23:27:30,10894297.035698926,11436.787670250897,10009020.044790348,,129.0,1768668.0,7984784.0,2275620.0,206104.0,5962968.0,4194300.0,4194300.0,0.0,0.0,65.86666666666666,0.0
1761064080,2025-10-21 23:28:00,2077839.2266666666,7872614.0,10016254.002488943,9999860.341581875,90.0,1756800.0,7984784.0,2275656.0,206252.0,5951100.0,4194300.0,4194300.0,0.0,0.0,510.1333333333333,0.0
1761064110,2025-10-21 23:28:30,67204.66666666667,11415360.515555555,,9999829.991938347,95.0,1761108.0,7984784.0,2275688.0,206348.0,5955408.0,4194300.0,4194300.0,0.0,0.0,172.0,0.0
1761064140,2025-10-21 23:29:00,9837.41935483871,10783264.774193548,,10000182.353345076,65.0,1752276.0,7984784.0,2275692.0,206436.0,5946576.0,4194300.0,4194300.0,0.0,0.0,353.8666666666667,0.0
1761064170,2025-10-21 23:29:30,9104.989534050179,11132393.350250896,,9999853.916252064,52.0,1749196.0,7984784.0,2275716.0,206516.0,5943496.0,4194300.0,4194300.0,0.0,0.0,130.4,0.0
1761064200,2025-10-21 23:30:00,7616.257777777778,11508883.208888888,,10000175.746037005,55.0,1748728.0,7984784.0,2275760.0,206616.0,5943028.0,4194300.0,4194300.0,0.0,0.0,573.3333333333334,0.0
1761064230,2025-10-21 23:30:30,6396.533333333334,11138623.2,,9999861.349405529,47.0,1750132.0,7984784.0,2275760.0,206716.0,5944432.0,4194300.0,4194300.0,0.0,0.0,413.3333333333333,0.0
1761064260,2025-10-21 23:31:00,12329.290322580646,10785252.129032258,,10000165.749646572,96.0,1752476.0,7984784.0,2275768.0,206808.0,5946776.0,4194300.0,4194300.0,0.0,0.0,347.73333333333335,0.0
1761064290,2025-10-21 23:31:30,8044.843010752688,11499645.204301076,,9999861.61329372,66.0,1743920.0,7984784.0,2275792.0,206892.0,5938220.0,4194300.0,4194300.0,0.0,0.0,63.2,0.0
1761064320,2025-10-21 23:32:00,6552.533333333334,11140496.8,,10000176.380446363,69.0,1750984.0,7984784.0,2275804.0,207000.0,5945284.0,4194300.0,4194300.0,0.0,0.0,351.2,0.0
1761064350,2025-10-21 23:32:30,6672.533333333334,11137760.266666668,,9999846.008965649,47.0,1749660.0,7984784.0,2275808.0,207084.0,5943960.0,4194300.0,4194300.0,0.0,0.0,97.33333333333333,0.0
1761064380,2025-10-21 23:33:00,7352.266666666666,11139319.2,,9999842.546488848,33.0,1743580.0,7984784.0,2275812.0,207168.0,5937880.0,4194300.0,4194300.0,0.0,0.0,357.3333333333333,0.0
1761064410,2025-10-21 23:33:30,8486.933333333332,11143848.0,,10000182.694221837,32.0,1750680.0,7984784.0,2275828.0,207268.0,5944980.0,4194300.0,4194300.0,0.0,0.0,109.86666666666666,0.0
1761064440,2025-10-21 23:34:00,7044.387096774193,10782566.193548387,,9999844.379521692,26.0,1746788.0,7984784.0,2275844.0,207352.0,5941088.0,4194300.0,4194300.0,0.0,0.0,356.53333333333336,0.0
1761064470,2025-10-21 23:34:30,8698.546236559141,11504329.539784946,,10000182.78186932,21.0,1741972.0,7984784.0,2275856.0,207448.0,5936272.0,4194300.0,4194300.0,0.0,0.0,161.33333333333334,0.0
1761064500,2025-10-21 23:35:00,6368.266666666666,11137715.2,,9999843.973669598,20.0,1751800.0,7984784.0,2275972.0,207556.0,5946100.0,4194300.0,4194300.0,0.0,0.0,429.3333333333333,0.0
1761064530,2025-10-21 23:35:30,6831.733333333334,11137521.333333334,,10000182.772079047,32.0,1754312.0,7984784.0,2275984.0,207656.0,5948612.0,4194300.0,4194300.0,0.0,0.0,375.46666666666664,0.0
1761064560,2025-10-21 23:36:00,10368.533333333333,11144385.6,,9999845.576871194,34.0,1753284.0,7984784.0,2275988.0,207744.0,5947584.0,4194300.0,4194300.0,0.0,0.0,461.06666666666666,0.0
1761064590,2025-10-21 23:36:30,6115.2,11138341.6,,10000184.827037899,70.0,1753064.0,7984784.0,2275996.0,207816.0,5947364.0,4194300.0,4194300.0,0.0,0.0,97.33333333333333,0.0
1761064620,2025-10-21 23:37:00,6737.290322580645,10779284.387096774,,9999842.264569258,42.0,1749468.0,7984784.0,2276000.0,207880.0,5943768.0,4194300.0,4194300.0,0.0,0.0,345.3333333333333,0.0
1761064650,2025-10-21 23:37:30,7005.163010752687,11126911.008458782,,10000164.080260254,25.0,1746428.0,7984784.0,2276020.0,207940.0,5940728.0,4194300.0,4194300.0,0.0,0.0,99.46666666666667,0.0
1761064680,2025-10-21 23:38:00,6440.328888888889,11137885.582222221,,9999862.951763898,34.0,1739476.0,7984784.0,2276072.0,208096.0,5933776.0,4194300.0,4194300.0,0.0,0.0,367.46666666666664,0.5333333333333333
1761064710,2025-10-21 23:38:30,7878.782222222221,11144108.48,,9999853.688493634,28.0,1744404.0,7984784.0,2276096.0,208188.0,5938704.0,4194300.0,4194300.0,0.0,0.0,144.8,0.0
1761064740,2025-10-21 23:39:00,7661.902222222223,11513543.075555556,,10000169.449287593,30.0,1748100.0,7984784.0,2275992.0,208260.0,5942400.0,4194300.0,4194300.0,0.0,0.0,341.3333333333333,0.0
1761064770,2025-10-21 23:39:30,8109.935483870968,10784792.258064516,,9999851.924036955,24.0,1745024.0,7984784.0,2276260.0,208328.0,5939324.0,4194300.0,4194300.0,0.0,0.0,86.13333333333334,0.0
1761064800,2025-10-21 23:40:00,7040.6067383512545,11126698.657491038,,10000186.2919709,43.0,1734996.0,7984784.0,2276180.0,208396.0,5929296.0,4194300.0,4194300.0,0.0,0.0,420.53333333333336,0.0
1761064830,2025-10-21 23:40:30,6062.844444444444,11139479.173333336,,9999841.68616227,40.0,1745720.0,7984784.0,2276176.0,208508.0,5940020.0,4194300.0,4194300.0,0.0,0.0,467.2,0.0
1761064860,2025-10-21 23:41:00,7460.551111111111,11138944.933333334,,10000183.50944626,32.0,1747836.0,7984784.0,2276048.0,208560.0,5942136.0,4194300.0,4194300.0,0.0,0.0,341.06666666666666,0.0
1761064890,2025-10-21 23:41:30,10985.742222222221,11143728.248888887,,9999844.6782586,85.0,1738956.0,7984784.0,2276048.0,208628.0,5933256.0,4194300.0,4194300.0,0.0,0.0,133.6,0.0
1761064920,2025-10-21 23:42:00,9068.639999999998,11138290.808888888,,10000178.119255662,77.0,1737792.0,7984784.0,2276052.0,208712.0,5932092.0,4194300.0,4194300.0,0.0,0.0,437.06666666666666,0.0
1761064950,2025-10-21 23:42:30,6025.706666666666,11137705.262222223,,9999837.59988122,47.0,1757324.0,7984784.0,2276032.0,208824.0,5951624.0,4194300.0,4194300.0,0.0,0.0,129.33333333333334,0.0
1761064980,2025-10-21 23:43:00,7500.542222222223,11138501.155555556,,10000172.997577345,28.0,1757840.0,7984784.0,2276108.0,208928.0,5952140.0,4194300.0,4194300.0,0.0,0.0,315.2,0.0
1761065010,2025-10-21 23:43:30,8176.693333333333,11144568.542222224,,9999860.297485627,17.0,1757636.0,7984784.0,2276092.0,208984.0,5951936.0,4194300.0,4194300.0,0.0,0.0,122.13333333333334,0.0
1761065040,2025-10-21 23:44:00,7648.204444444445,10397342.16,,9999850.68715396,22.0,1751740.0,7984784.0,2276096.0,209052.0,5946040.0,4194300.0,4194300.0,0.0,0.0,328.26666666666665,0.0
1761065070,2025-10-21 23:44:30,8472.0,11147566.666666666,,10000185.01381331,13.0,1738753.0666666667,7984784.0,2276092.4,209146.66666666666,5933053.066666666,4194300.0,4194300.0,0.0,0.0,165.94666666666666,0.0
1761065100,2025-10-21 23:45:00,6983.466666666666,11137446.4,,9999841.677613849,13.766666666666667,1726863.2,7984784.0,2276103.8666666667,209225.73333333334,5921163.2,4194300.0,4194300.0,0.0,0.0,418.94222222222214,0.0
1761065130,2025-10-21 23:45:30,6474.133333333333,11139017.066666666,,10000177.492139345,36.13333333333333,1727597.7333333334,7984784.0,2276096.4,209278.13333333333,5921897.733333333,4194300.0,4194300.0,0.0,0.0,431.46666666666664,0.0
1761065160,2025-10-21 23:46:00,6834.666666666667,11137779.466666667,,9999849.329224985,42.63333333333333,1726262.5333333334,7984784.0,2275992.4,209342.93333333332,5920562.533333333,4194300.0,4194300.0,0.0,0.0,331.79555555555555,0.0
1761065190,2025-10-21 23:46:30,10452.8,11143153.333333334,,10000183.004473407,117.6,1733598.2666666666,7984784.0,2276004.4,209431.73333333334,5927898.266666667,4194300.0,4194300.0,0.0,0.0,137.6977777777778,0.0
1761065220,2025-10-21 23:47:00,8113.6,11138303.466666667,,9999843.65880846,76.0,1745728.6666666667,7984784.0,2276016.1333333333,209542.53333333333,5940028.666666667,4194300.0,4194300.0,0.0,0.0,281.9733333333333,0.0
1761065250,2025-10-21 23:47:30,6146.666666666667,11136825.866666667,,10000176.850139292,47.4,1745856.6666666667,7984784.0,2276024.8,209619.86666666667,5940156.666666667,4194300.0,4194300.0,0.0,0.0,139.20888888888888,0.0
1761065280,2025-10-21 23:48:00,6931.733333333334,11140124.8,,9999848.31114912,58.2,1748366.0,7984784.0,2276164.933333333,209733.86666666667,5942666.0,4194300.0,4194300.0,0.0,0.0,603.0044444444444,0.0
1761065310,2025-10-21 23:48:30,7932.533333333334,11143248.533333333,,10000184.662597282,34.53333333333333,1729741.2,7984784.0,2276188.4,209790.26666666666,5924041.2,4194300.0,4194300.0,0.0,0.0,152.99555555555557,0.0
1761065340,2025-10-21 23:49:00,7102.666666666667,11137888.266666668,,9999843.330139114,20.7,1729509.3333333333,7984784.0,2276084.2666666666,209859.73333333334,5923809.333333333,4194300.0,4194300.0,0.0,0.0,487.3955555555556,0.0
1761065370,2025-10-21 23:49:30,9016.266666666666,11147633.333333334,,10000177.689253548,12.5,1728377.4666666666,7984784.0,2276097.2,209970.4,5922677.466666667,4194300.0,4194300.0,0.0,0.0,161.99111111111114,0.0
1761065400,2025-10-21 23:50:00,7202.933333333333,11139585.333333334,,9999846.651158432,26.9,1724637.4666666666,7984784.0,2276248.0,210042.26666666666,5918937.466666667,4194300.0,4194300.0,0.0,0.0,423.1911111111111,0.0
1761065430,2025-10-21 23:50:30,28919.733333333334,11141844.8,,9999852.87856735,24.466666666666665,1722914.0,7984784.0,2276243.8666666667,210110.8,5917214.0,4194300.0,4194300.0,0.0,0.0,270.08888888888885,0.0
1761065460,2025-10-21 23:51:00,7529.6,11137837.066666666,,10000173.706213916,37.766666666666666,1731981.0666666667,7984784.0,2276124.2666666666,210194.93333333332,5926281.066666666,4194300.0,4194300.0,0.0,0.0,316.40888888888895,0.0
1761065490,2025-10-21 23:51:30,11171.2,11144579.466666667,,9999853.039090633,32.53333333333333,1723923.2,7984784.0,2276132.0,210283.46666666667,5918223.2,4194300.0,4194300.0,0.0,0.0,133.76000000000002,0.0
1761065520,2025-10-21 23:52:00,6868.533333333334,11138832.0,,10000186.875414524,75.96666666666667,1718455.4666666666,7984784.0,2276132.4,210387.06666666668,5912755.466666667,4194300.0,4194300.0,0.0,0.0,317.47555555555556,0.0
1761065550,2025-10-21 23:52:30,6111.733333333334,11137901.333333334,,9999849.663399184,45.4,1729044.1333333333,7984784.0,2276152.933333333,210479.6,5923344.133333334,4194300.0,4194300.0,0.0,0.0,135.05777777777777,0.0
1761065580,2025-10-21 23:53:00,6964.266666666666,11139756.0,,10000165.474914929,27.6,1737326.8,7984784.0,2276412.6666666665,210586.53333333333,5931626.8,4194300.0,4194300.0,0.0,0.0,325.4488888888889,0.0
1761065610,2025-10-21 23:53:30,7859.733333333334,11142767.466666667,,9999861.66411915,16.2,1741866.4,7984784.0,2276428.0,210664.13333333333,5936166.4,4194300.0,4194300.0,0.0,0.0,145.2711111111111,0.0
1761065640,2025-10-21 23:54:00,7246.933333333333,11138577.333333334,,10000164.693828287,22.333333333333332,1740048.8,7984784.0,2276312.533333333,210786.93333333332,5934348.8,4194300.0,4194300.0,0.0,0.0,418.5422222222223,0.0
1761065670,2025-10-21 23:54:30,8654.666666666666,11148196.0,,9999851.611429555,32.06666666666667,1762226.1333333333,7984784.0,2276328.4,210874.0,5956526.133333334,4194300.0,4194300.0,0.0,0.0,110.3111111111111,0.0
1761065700,2025-10-21 23:55:00,7827.466666666666,11190441.066666666,,10000169.770016842,33.8,2333882.8,7984784.0,2276340.4,210934.53333333333,6528182.8,4194300.0,4194300.0,0.0,0.0,469.76,0.0
1761065730,2025-10-21 23:55:30,6998.4,11300760.533333333,,9999856.226863798,28.233333333333334,2328869.066666667,7984784.0,2276352.2666666666,211010.8,6523169.066666666,4194300.0,4194300.0,0.0,0.0,424.72,0.0
1761065760,2025-10-21 23:56:00,7232.266666666666,11301522.133333333,,10000174.14282875,34.53333333333333,2325673.8666666667,7984784.0,2276360.1333333333,211095.06666666668,6519973.866666666,4194300.0,4194300.0,0.0,0.0,323.0666666666667,0.0
1761065790,2025-10-21 23:56:30,6047.466666666666,11300184.8,,9999845.589166554,22.6,2313157.2,7984784.0,2276368.6666666665,211186.26666666666,6507457.2,4194300.0,4194300.0,0.0,0.0,141.08444444444442,0.0
1761065820,2025-10-21 23:57:00,12262.133333333333,11259288.266666668,,9999853.927141884,68.06666666666666,2029360.8,7984784.0,2276504.2666666666,211254.13333333333,6223660.8,4194300.0,4194300.0,0.0,0.0,350.23111111111115,0.0
1761065850,2025-10-21 23:57:30,6657.866666666667,11137862.933333334,,10000190.87492175,40.63333333333333,2029990.8,7984784.0,2276579.466666667,211319.86666666667,6224290.8,4194300.0,4194300.0,0.0,0.0,133.11111111111111,0.0
1761065880,2025-10-21 23:58:00,21809.866666666665,5043021.866666666,,10033839.688795418,29.766666666666666,2031188.5333333334,7984784.0,2278537.066666667,211435.73333333334,6225488.533333333,4194300.0,4194300.0,0.0,0.0,471.62666666666667,0.0
1761065910,2025-10-21 23:58:30,7413.066666666667,16969.333333333332,,,,,,,,,,,,,,
