timestamp,time,rrd_in_bps,rrd_out_bps,iperf_server_in_bps,iperf_server_out_bps,cpu_load,mem_avail,swap_out,io_sent
1760544360,2025-10-15 23:06:00,10935476.000000002,230358.04444444444,9999202.91833764,,196.3,849116.0,0.0,616.2666666666667
1760544390,2025-10-15 23:06:30,10913810.577777779,226027.73333333334,9622293.188491741,,186.2,851501.6,0.0,500.26666666666665
1760544420,2025-10-15 23:07:00,10841377.066666666,240183.73333333334,9917001.268618006,,171.4,856388.8,0.0,500.26666666666665
1760544450,2025-10-15 23:07:30,10895421.333333334,235714.04444444444,9990704.448106764,,204.0,856743.2,0.0,416.0
1760544480,2025-10-15 23:08:00,10954272.177777776,229452.0888888889,9999184.491152812,,183.0,853278.4,0.0,448.26666666666665
1760544510,2025-10-15 23:08:30,10941935.11111111,225293.77777777778,10000852.205723178,,168.6,852296.0,0.0,812.5333333333333
1760544540,2025-10-15 23:09:00,10805168.800000003,229379.91111111114,9870138.84887505,,154.2,852294.4,0.0,511.2
1760544570,2025-10-15 23:09:30,11312891.37777778,243668.17777777778,10000212.96361848,,145.6,851848.0,0.0,539.7333333333333
1760544600,2025-10-15 23:10:00,11313437.688888889,242567.46666666667,9997524.748585472,,151.7,851962.4,0.0,469.8666666666667
1760544630,2025-10-15 23:10:30,10578147.11111111,226419.46666666667,9999543.384362765,,216.3,849408.8,0.0,517.6
1760544660,2025-10-15 23:11:00,10577271.466666667,220766.4,10001498.961801382,,188.8,851425.6,0.0,440.26666666666665
1760544690,2025-10-15 23:11:30,11305364.533333333,237633.33333333334,9999856.826805802,,179.5,851414.4,0.0,396.53333333333336
1760544720,2025-10-15 23:12:00,11670144.177777776,246662.13333333333,9999527.13221986,,179.7,850015.2,0.0,620.8
1760544750,2025-10-15 23:12:30,10945675.02222222,227430.04444444444,9999189.590170441,,183.0,842827.2,0.0,528.5333333333333
1760544780,2025-10-15 23:13:00,10752291.866666667,224907.0222222222,9992310.536346354,,176.2,844865.6,0.0,617.0666666666667
1760544810,2025-10-15 23:13:30,11125752.4,232659.73333333334,9995942.650776405,,167.4,1129098.4,0.0,877.3333333333334
1760544840,2025-10-15 23:14:00,10943857.422222223,229020.53333333333,9999187.587615477,,163.4,1241249.6,0.0,503.73333333333335
1760544870,2025-10-15 23:14:30,10944839.911111113,236892.26666666666,10000522.139288561,,152.36666666666667,1238657.3333333333,0.0,297.68888888888887
1760544900,2025-10-15 23:15:00,10936168.88888889,230959.2888888889,9991656.78724119,,149.3,1237724.2666666666,0.0,497.9555555555556
1760544930,2025-10-15 23:15:30,10496775.225396825,228296.36825396828,9530623.647695908,,197.03333333333333,1237791.8666666667,0.0,539.2888888888889
1760544960,2025-10-15 23:16:00,10443178.019047618,232529.4095238095,10263123.417150611,,196.53333333333333,1249387.4666666666,0.0,557.5111111111111
1760544990,2025-10-15 23:16:30,10945023.466666667,228934.13333333333,10000182.462980991,,171.36666666666667,1250661.4666666666,0.0,556.0
1760545020,2025-10-15 23:17:00,10945024.0,235101.6,9999512.539345868,,155.83333333333334,1249228.0,0.0,542.9333333333333
1760545050,2025-10-15 23:17:30,10941362.4,230263.46666666667,9999528.870209916,,169.5,1248055.7333333334,0.0,432.0
1760545080,2025-10-15 23:18:00,10946698.933333334,228616.0,10000179.272695653,,170.76666666666668,1255527.6,0.0,399.55555555555554
1760545110,2025-10-15 23:18:30,10937015.466666667,229691.46666666667,9993341.086130394,,156.06666666666666,1258113.6,0.0,951.7333333333333
1760545140,2025-10-15 23:19:00,10944384.266666668,229353.86666666667,9999820.81624176,,146.8,1263307.2,0.0,556.5333333333333
1760545170,2025-10-15 23:19:30,10944071.733333332,234365.86666666667,10000535.553660188,,141.0,1262752.8,0.0,549.0666666666667
1760545200,2025-10-15 23:20:00,10806676.266666668,233860.8,9991686.74372173,,137.6,1260001.6,0.0,513.0666666666667
1760545230,2025-10-15 23:20:30,11071520.533333333,229759.46666666667,9999178.545414548,,155.5,1261848.8,0.0,505.3333333333333
1760545260,2025-10-15 23:21:00,10949187.733333332,236137.33333333334,10000189.004859896,,243.9,896023.2,0.0,397.8666666666667
1760545290,2025-10-15 23:21:30,7201091.466666667,2557645.066666667,9888239.099021759,9999311.621314034,226.3,846684.0,0.0,556.2666666666667
1760545320,2025-10-15 23:22:00,48572.8,11360269.066666666,,9999849.576608619,162.3,837809.6,0.0,582.9333333333333
1760545350,2025-10-15 23:22:30,46409.333333333336,11355002.4,,10000176.670838963,116.7,829248.0,0.0,500.8
1760545380,2025-10-15 23:23:00,47050.13333333333,11354713.333333334,,9999853.577479552,76.3,830444.0,0.0,588.8
1760545410,2025-10-15 23:23:30,46359.2,11356373.866666667,,10000169.374328675,45.9,820176.8,0.0,754.4
1760545440,2025-10-15 23:24:00,46670.13333333333,11355604.266666668,,9999844.944243673,37.1,817817.6,0.0,628.5333333333333
1760545470,2025-10-15 23:24:30,46978.933333333334,11360581.866666667,,10000190.161133204,25.9,808628.8,0.0,303.2
1760545500,2025-10-15 23:25:00,47393.066666666666,11360770.133333333,,9999848.601174187,25.3,825109.6,0.0,500.8
1760545530,2025-10-15 23:25:30,46046.13333333333,11356643.733333332,,10000177.450769,19.9,816247.2,0.0,514.1333333333333
1760545560,2025-10-15 23:26:00,54714.13333333333,11362925.6,,9999837.59325262,67.8,825096.0,0.0,504.53333333333336
1760545590,2025-10-15 23:26:30,46837.066666666666,11355134.666666666,,10000179.415938193,55.3,821254.4,0.0,578.4
1760545620,2025-10-15 23:27:00,48078.666666666664,11352366.4,,9999855.402283447,40.7,827044.8,0.0,474.1333333333333
1760545650,2025-10-15 23:27:30,46404.0,11355841.6,,9999845.581260612,30.6,812224.8,0.0,494.6666666666667
1760545680,2025-10-15 23:28:00,46824.53333333333,11357747.733333332,,10000182.411489481,29.6,814919.2,0.0,493.8666666666667
1760545710,2025-10-15 23:28:30,46137.333333333336,11356423.2,,9999848.654623559,35.9,789090.4,0.0,657.8666666666667
1760545740,2025-10-15 23:29:00,45606.8,11075717.4,,10000175.99157164,28.2,805506.4,0.0,497.06666666666666
1760545770,2025-10-15 23:29:30,48111.6,11644239.133333333,,9999853.870039098,26.5,811959.2,0.0,576.5333333333333
1760545800,2025-10-15 23:30:00,47476.53333333333,11361528.266666668,,10000167.399228431,29.0,797956.0,0.0,590.4
1760545830,2025-10-15 23:30:30,46481.6,11357332.0,,9999860.626229292,33.1,791113.6,0.0,552.2666666666667
1760545860,2025-10-15 23:31:00,51584.0,11505249.6,,10000164.746822137,63.0,796824.8,0.0,544.2666666666667
1760545890,2025-10-15 23:31:30,45689.333333333336,11520189.066666666,,9999861.036375817,79.7,793999.2,0.0,435.46666666666664
1760545920,2025-10-15 23:32:00,48051.73333333333,11388887.466666667,,10000178.426133411,70.4,788166.4,0.0,387.73333333333335
1760545950,2025-10-15 23:32:30,46134.13333333333,11357764.8,,9999848.963022385,78.0,785805.6,0.0,548.8
